Date,Min Wage,CPI,USDTL,TUR_CPI,Reel_wage
May-77,1820,103,17.85,,1820
Jun-77,1820,104.04,17.85,,1801.806997
Jul-77,1820,107.77,17.85,,1739.445115
Aug-77,1820,110.51,17.85,,1696.317075
Sep-77,1820,112.03,18.564,,1673.301794
Oct-77,1820,119.3,19.635,,1571.332775
Nov-77,1820,120.54,19.635,,1555.168409
Dec-77,1820,120.22,19.635,,1559.307935
Jan-78,1820,122.41,19.635,,1531.410832
Feb-78,1820,124.58,19.635,,1504.735913
Mar-78,1820,124.89,25.5,,1501.000881
Apr-78,1820,127.26,25.5,,1473.047305
May-78,1820,136.11,25.5,,1377.268386
Jun-78,1820,136.54,25.5,,1372.931009
Jul-78,1820,137.79,25.5,,1360.476087
Aug-78,1863.64,138.21,25.5,,1388.864192
Sep-78,2780,145.49,25.5,,1968.107774
Oct-78,2780,156.7,25.5,,1827.313338
Nov-78,2780,158.25,25.5,,1809.415482
Dec-78,2780,159.18,25.5,,1798.844076
Jan-79,2780,171.47,25.5,,1669.913104
Feb-79,2780,175.2,25.5,,1634.360731
Mar-79,2780,180.18,25.5,,1589.188589
Apr-79,2780,189.27,26.571,,1512.865219
May-79,2780,191.6,27.03,,1494.467641
Jun-79,2780,215.78,32.81,,1326.999722
Jul-79,3485.91,224.9,35.7,,1596.481681
Aug-79,4333,236.01,35.7,,1891.01733
Sep-79,4333,251.9,35.7,,1771.730846
Oct-79,4333,263.52,35.7,,1693.605798
Nov-79,4333,275.37,35.7,,1620.724843
Dec-79,4333,282.8,35.7,,1578.143564
Jan-80,4333,328.11,43.81363636,,1360.211514
Feb-80,4333,362.72,71.4,,1230.422916
Mar-80,4333,366.12,71.4,,1218.996504
Apr-80,8041.86,367.06,74.99047619,,2256.610854
May-80,8660,379.3,75.17,,2351.647772
Jun-80,8660,433.64,78.5147619,,2056.95969
Jul-80,8660,434.98,79.56,,2050.623017
Aug-80,8660,449.1,81.48666667,,1986.150078
Sep-80,8660,474.29,81.6,,1880.663729
Oct-80,8660,499.01,83.64473684,,1787.499249
Nov-80,8660,531.93,88.9075,,1676.874777
Dec-80,8660,545.73,90.63521739,,1634.471259
Jan-81,8660,570.71,91.55428571,,1562.930385
Feb-81,8660,592.96,97.2505,,1504.283594
Mar-81,8660,604.2,97.77136364,,1476.299239
Apr-81,8660,577.23,98.92190476,,1545.27658
May-81,8660,594.48,103.839,,1500.437357
Jun-81,10238.18,619.12,109.255,,1703.276489
Jul-81,13000,614.28,115.2773913,,2179.787719
Aug-81,13000,665.36,122.6515,,2012.444391
Sep-81,13000,691.77,122.7490909,,1935.614438
Oct-81,13000,739.99,126.9773684,,1809.483912
Nov-81,13000,806.89,129.7828571,,1659.457919
Dec-81,13000,779.55,132.3373913,,1717.657623
Jan-82,13000,793.52,138.493,,1687.418087
Feb-82,13000,827.56,145.361,373.3,1618.00957
Mar-82,13000,787.65,147.2243478,381.8,1699.993652
Apr-82,13000,790.34,150.22,390.5,1694.207556
May-82,13000,834.98,151.728,394.2,1603.631225
Jun-82,19136.36,861.35,161.645,395.4,2288.320752
Jul-82,22000,862.25,168.604,402.1,2628.008118
Aug-82,22000,915.19,173.942381,406.2,2475.988593
Sep-82,22000,944.82,177.2188889,411.7,2398.340425
Oct-82,22000,996.11,179.757,424.5,2274.849163
Nov-82,22000,1012.21,185.0127273,436,2238.665889
Dec-82,22000,1038.32,188.8269565,446.1,2182.371523
Jan-83,22000,1089.3,190.8133333,461.7,2080.235013
Feb-83,22000,1104.8,196.7105,481.1,2051.049964
Mar-83,22000,1129.03,201.71,492.2,2007.032585
Apr-83,22000,1131.96,209.572381,503.2,2001.837521
May-83,22000,1146.63,214.2519048,510.6,1976.225984
Jun-83,22000,1171.47,221.4013636,514,1934.321835
Jul-83,23639.44,1180.59,227.4588889,520.8,2062.411438
Aug-83,24270,1207.44,238.4109091,526.2,2070.338899
Sep-83,24270,1228.2,246.628,538.5,2035.344406
Oct-83,24270,1284.21,250.722381,555.9,1946.574158
Nov-83,24270,1337.32,261.7304545,585.4,1869.268388
Dec-83,24270,1389.56,279.4140909,607.3,1798.993926
Jan-84,24270,1520.53,303.86,632.8,1644.038592
Feb-84,26280,1545.24,313.1542857,654.6,1751.727887
Mar-84,30300,1572.36,316.6859091,664.6,1984.850798
Apr-84,30300,1621.65,331.2275,685.2,1924.521321
May-84,30300,1705.66,353.2117391,727.9,1829.731599
Jun-84,30300,1784.3,363.9780952,763.2,1749.089279
Jul-84,30300,1816.59,377.7295238,812.7,1717.999108
Aug-84,30300,1864.07,388.0104545,820.2,1674.239701
Sep-84,30300,1926.95,403.5483333,840.6,1619.606113
Oct-84,30300,2047.55,415.8827273,858,1524.211863
Nov-84,30300,2201.96,418.7745455,895.4,1417.328199
Dec-84,30300,2372.29,436.4852381,929.9,1315.564286
Jan-85,46000,2375.26,453.9013636,947.2,1994.728998
Feb-85,46000,2432.14,470.5985,1000,1948.078647
Mar-85,46000,2512.42,495.5057143,1033,1885.831191
Apr-85,46000,2583.12,503.212381,1082.4,1834.215987
May-85,46000,2662.89,525.9673913,1091.4,1779.269891
Jun-85,46000,2694.01,535.5361111,1117.6,1758.71656
Jul-85,46000,2757.85,535.3647826,1109.1,1718.004968
Aug-85,46000,3369.4,537.0370588,1124.9,1406.185077
Sep-85,46000,3504.47,553.4490476,1154,1351.987604
Oct-85,46000,3610.83,551.7704545,1208.8,1312.163685
Nov-85,46000,3505.57,560.5361905,1284.5,1351.563369
Dec-85,46000,3393.22,573.7490909,1344.1,1396.313826
Jan-86,75000,3633.98,588.7759091,1365.8,2125.768441
Feb-86,75000,3784.71,597.9685,1409.5,2041.107509
Mar-86,75000,4038.3,639.6528571,1434,1912.93366
Apr-86,75000,4042.96,674.0642857,1452.7,1910.728773
May-86,75000,4095.18,677.217619,1458.2,1886.363969
Jun-86,75000,4108.11,689.0277778,1485.9,1880.426766
Jul-86,75000,4470.73,685.4117391,1521.4,1727.905734
Aug-86,75000,4630.85,686.2873684,1549.9,1668.160273
Sep-86,75000,4637.71,699.2813636,1563.4,1665.692766
Oct-86,75000,4710.14,714.5977273,1599.4,1640.078639
Nov-86,75000,4800.7,749.416,1716.8,1609.140334
Dec-86,75000,5024.91,758.3930435,1755.9,1537.340967
Jan-87,90000,5184.71,754.257619,1784.7,1787.949567
Feb-87,90000,5247.74,761.8575,1837.2,1766.474711
Mar-87,90000,5479.47,777.2281818,1886.8,1691.769459
Apr-87,90000,5527.37,791.5257143,1957.3,1677.108643
May-87,90000,5595.38,807.5147368,1998.3,1656.72394
Jun-87,90000,5885.01,837.1377273,2096.9,1575.188487
Jul-87,90000,5996.22,869.2886957,2094.7,1545.973964
Aug-87,90000,6018.46,892.0494444,2134.8,1540.26113
Sep-87,90000,6252.57,914.6254545,2171.4,1482.590359
Oct-87,90000,6760.73,948.6842857,2234.9,1371.153707
Nov-87,90000,6954.49,959.5014286,2342.2,1332.951805
Dec-87,90000,7185.97,995.9656522,2488.5,1290.013735
Jan-88,121000,7766.59,1077.352,2767.2,1604.693952
Feb-88,121000,8413.66,1156.207143,2932.8,1481.28163
Mar-88,121000,8918.5,1205.58913,3090.3,1397.432304
Apr-88,121000,9096,1251.244286,3324.1,1370.162709
May-88,121000,9236.12,1297.382632,3486.6,1349.376145
Jun-88,121000,9445.95,1354.040909,3568.8,1319.401437
Jul-88,121000,9804.53,1419.604444,3646,1271.147113
Aug-88,121000,10400.25,1500.676818,3746.9,1198.336578
Sep-88,121000,10643.13,1589.623182,3874.6,1170.990113
Oct-88,121000,11033.33,1723.967143,4062.1,1129.577381
Nov-88,121000,11343.77,1727.37,4365.3,1098.66473
Dec-88,121000,11682.23,1800.035217,4665.7,1066.833986
Jan-89,205001,12349.08,1851.705,4848.3,1709.852313
Feb-89,205001,13326.37,1912.6305,5112.8,1584.460209
Mar-89,205001,13605.9,1982.711739,5334.4,1551.907849
Apr-89,205001,14110.36,2058.705,5469.2,1496.425534
May-89,205001,14496.96,2073.72,5666.5,1456.519367
Jun-89,205001,14622.72,2121.12,5809.4,1443.992841
Jul-89,205001,15515.93,2144.670526,6113.7,1360.866091
Aug-89,205001,16405.56,2187.454545,6460.8,1287.069932
Sep-89,205001,16557.19,2244.666667,6716.5,1275.283004
Oct-89,205001,16818.75,2279.318182,7033,1255.450197
Nov-89,205001,17284.52,2316.590909,7566.8,1221.619287
Dec-89,205001,17734.96,2314.5,7903.7,1190.592085
Jan-90,340500,18876.82,2333.227273,8182.5,1857.913568
Feb-90,340500,20730.08,2381.5,8492.7,1691.816915
Mar-90,340500,21427.83,2457.454545,8851.8,1636.726631
Apr-90,340500,22172.3,2504.333333,9285.3,1581.770948
May-90,340500,22754.36,2552.608696,9656.4,1541.309006
Jun-90,340500,23449.24,2631.666667,9828.6,1495.634827
Jul-90,340500,24019.81,2668.833333,10126.1,1460.107303
Aug-90,340500,26778.51,2682.045455,10315.9,1309.688254
Sep-90,340500,28054.73,2721.15,10608.9,1250.110053
Oct-90,340500,28726.62,2744.363636,11302,1220.871094
Nov-90,340500,29374.07,2779.727273,12118,1193.961205
Dec-90,340500,30045.24,2876.904762,12839.2,1167.289727
Jan-91,520000,31045.53,2996.454545,13140.9,1725.208106
Feb-91,520000,31976.11,3143.2,13697.2,1675.000493
Mar-91,520000,33253.77,3543,14397.8,1610.644447
Apr-91,520000,34614.8,3794.777778,14903.4,1547.315021
May-91,520000,35448.36,3985.347826,15439.8,1510.930266
Jun-91,520000,37201.74,4221.294118,16050.3,1439.717605
Jul-91,520000,38092.08,4382.043478,16858.4,1406.066563
Aug-91,520000,38809.96,4512.52381,17326.1,1380.058109
Sep-91,520000,40518.06,4651.52381,18110.9,1321.879675
Oct-91,520000,41782.07,4846.136364,18999.8,1281.889576
Nov-91,520000,42818.3,4952.666667,20244.4,1250.867036
Dec-91,520000,43965.89,5060,21527.4,1218.217122
Jan-92,806000,47227.6,5322.590909,22484.4,1757.82805
Feb-92,806000,52002.68,5674.45,24484.5,1596.417723
Mar-92,806000,53765.4,6100.045455,25773.1,1544.078534
Apr-92,806000,55197.55,6429.55,26739.9,1504.01603
May-92,806000,56330.78,6715.85,27087.2,1473.759106
Jun-92,806000,57373.47,6889.6,27344.6,1446.975405
Jul-92,806000,59186.48,6952.347826,28146.4,1402.651416
Aug-92,806000,61136.75,7101.666667,29088.4,1357.90666
Sep-92,806000,63400.34,7280.545455,30239.6,1309.425155
Oct-92,806000,66012.44,7567.47619,32393.4,1257.611444
Nov-92,806000,68550.52,8123.238095,35056.9,1211.048436
Dec-92,806000,71827.32,8359.956522,36529.3,1155.799771
Jan-93,1373000,75368.56,8711.8,37748.4,1876.365954
Feb-93,1373000,80533.11,9049.7,39859,1756.035499
Mar-93,1373000,84656.42,9386.65,41223.2,1670.50532
Apr-93,1373000,86552.8,9558.190476,42554.2,1633.904391
May-93,1373000,87877.17,9980.65,43585.2,1609.280317
Jun-93,1373000,90030.81,10560.66667,45626.4,1570.78449
Jul-93,1373000,94471.01,11186.63636,47886.3,1496.95658
Aug-93,1373000,98978.76,11646.42857,51242.5,1428.781286
Sep-93,1373000,100890.96,11882.31818,52571.5,1401.701401
Oct-93,1373000,103441.97,12508.514,54698.3,1367.133669
Nov-93,1373000,108365.78,13377.45636,58242.8,1305.015292
Dec-93,1373000,115756.55,14061.69565,62524.6,1221.693286
Jan-94,3000000,121335.73,15194.61905,64695.4,2546.652993
Feb-94,3000000,132390.63,17740.4,66960.6,2334.002036
Mar-94,3000000,161586.49,20628.09524,70957.9,1912.288583
Apr-94,3000000,193119.22,32222.7619,74563.3,1600.047888
May-94,3000000,242373.25,33900.05263,94060.4,1274.893166
Jun-94,3000000,250536.52,31746.04545,102017.4,1233.353126
Jul-94,3000000,262350.26,31031.85714,105781.4,1177.814728
Aug-94,5000000,288565.36,31727.45455,109424.6,1784.690997
Sep-94,5000000,308050.82,33984.5,111796.4,1671.802075
Oct-94,5000000,323109.01,34952.14286,118202.8,1593.889319
Nov-94,5000000,339038.88,36331,129547.5,1518.999827
Dec-94,5000000,364639.6,37477.81818,139730.9,1412.353458
Jan-95,9420000,399411.77,40237.40909,150181.2,2429.222354
Feb-95,9420000,426709.81,41108.95,160157.9,2273.816953
Mar-95,9420000,459197.56,41866.81818,169734.2,2112.946767
Apr-95,9420000,464405.23,42411.55,176157,2089.252957
May-95,9420000,472700.71,43173.78947,187480.3,2052.588413
Jun-95,9420000,479903.93,43293.45455,193123.4,2021.779651
Jul-95,9420000,513000.32,44570.80952,195964.4,1891.343849
